中野,47
落合,45
高田馬場,42
早稲田,38
神楽坂,36
飯田橋,33
九段下,31
竹橋,29
大手町,27
日本橋,25
茅場町,23
門前仲町,20
木場,19
東陽町,17
南砂町,14
西葛西,11
葛西,9
浦安,6
南行徳,4
行徳,2
妙典,0
原木中山,3
西船橋,5
東大前,48
後楽園,46
駒場東大前,59
神泉,58
渋谷,49
表参道,52
外苑前,50
青山一丁目,49
赤坂見附,46
溜池山王,44
虎ノ門,42
新橋,40
銀座,38
京橋,36
